Motifs_Count,0,1,2
3,"[['2738'], ['2738'], ['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739'], ['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1']]"
2,"[['2738'], ['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1']]"
1,"[['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1']]"
0,[['2738']],"[['2738', '2739']]","[['2738', '2739', 'Sum_1']]"
