Motifs_Count,0,1,2
3,"[['bool'], ['bool'], ['bool'], ['bool']]","[['bool', 'bool'], ['bool', 'bool'], ['bool', 'bool'], ['bool', 'bool']]","[['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1']]"
2,"[['bool'], ['bool'], ['bool']]","[['bool', 'bool'], ['bool', 'bool'], ['bool', 'bool']]","[['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1']]"
1,"[['bool'], ['bool']]","[['bool', 'bool'], ['bool', 'bool']]","[['bool', 'bool', 'Sum Aggregated 1'], ['bool', 'bool', 'Sum Aggregated 1']]"
0,[['bool']],"[['bool', 'bool']]","[['bool', 'bool', 'Sum Aggregated 1']]"
