Motifs_Count,0,1,2
3,"[['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]"
2,"[['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]"
1,"[['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]"
0,[['MOVEMENT']],"[['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]"
