Motifs_Count,0,1,2
3,"[['2788,2786'], ['HVAC'], ['HVAC'], ['2788,2786']]","[['2788,2786', 'HVAC'], ['2788,2786', 'HVAC'], ['2788,2786', 'HVAC'], ['2788,2786', 'HVAC']]","[['HVAC', '2788,2786', '2780,2779'], ['HVAC', '2788,2786', '2780,2779'], ['2788,2786', 'HVAC', '2780,2779'], ['2788,2786', 'HVAC', '2780,2779']]"
2,"[['2788,2786'], ['HVAC'], ['HVAC']]","[['2788,2786', 'HVAC'], ['2788,2786', 'HVAC'], ['2788,2786', 'HVAC']]","[['HVAC', '2788,2786', '2780,2779'], ['HVAC', '2788,2786', '2780,2779'], ['2788,2786', 'HVAC', '2780,2779']]"
1,"[['2788,2786'], ['HVAC']]","[['2788,2786', 'HVAC'], ['2788,2786', 'HVAC']]","[['HVAC', '2788,2786', '2780,2779'], ['HVAC', '2788,2786', '2780,2779']]"
0,"[['2788,2786']]","[['2788,2786', 'HVAC']]","[['HVAC', '2788,2786', '2780,2779']]"
