Motifs_Count,0,1,2
3,"[['Sum_1'], ['2787'], ['2787'], ['Sum_1']]","[['Sum_1', '2787'], ['Sum_1', '2787'], ['Sum_1', '2787'], ['Sum_1', '2787']]","[['2787', 'Sum_1', 'Sum_2'], ['2787', 'Sum_1', 'Sum_2'], ['Sum_1', '2787', 'Sum_2'], ['Sum_1', '2787', 'Sum_2']]"
2,"[['Sum_1'], ['2787'], ['2787']]","[['Sum_1', '2787'], ['Sum_1', '2787'], ['Sum_1', '2787']]","[['2787', 'Sum_1', 'Sum_2'], ['2787', 'Sum_1', 'Sum_2'], ['Sum_1', '2787', 'Sum_2']]"
1,"[['Sum_1'], ['2787']]","[['Sum_1', '2787'], ['Sum_1', '2787']]","[['2787', 'Sum_1', 'Sum_2'], ['2787', 'Sum_1', 'Sum_2']]"
0,[['Sum_1']],"[['Sum_1', '2787']]","[['2787', 'Sum_1', 'Sum_2']]"
