Motifs_Count,0,1,2,3
3,"[['2789,2781 '], ['2789,2781 '], ['2789,2781 '], ['2789,2781 ']]","[['2789,2781 ', '2792,2785 '], ['2789,2781 ', '2792,2785 '], ['2792,2785 ', '2789,2781 '], ['2789,2781 ', '2784,2791 ']]","[['2789,2781 ', '2792,2785 ', '2784,2791 '], ['2789,2781 ', '2792,2785 ', '2784,2791 '], ['2792,2785 ', '2789,2781 ', '2784,2791 '], ['2789,2781 ', '2792,2785 ', '2783, 2790']]","[['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790'], ['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790'], ['2789,2781 ', '2792,2785 ', '2783, 2790', '2784,2791 '], ['2789,2781 ', '2792,2785 ', '2783, 2790', '2784,2791 ']]"
2,"[['2789,2781 '], ['2789,2781 '], ['2789,2781 ']]","[['2789,2781 ', '2792,2785 '], ['2789,2781 ', '2792,2785 '], ['2792,2785 ', '2789,2781 ']]","[['2789,2781 ', '2792,2785 ', '2784,2791 '], ['2789,2781 ', '2792,2785 ', '2784,2791 '], ['2792,2785 ', '2789,2781 ', '2784,2791 ']]","[['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790'], ['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790'], ['2789,2781 ', '2792,2785 ', '2783, 2790', '2784,2791 ']]"
1,"[['2789,2781 '], ['2789,2781 ']]","[['2789,2781 ', '2792,2785 '], ['2789,2781 ', '2792,2785 ']]","[['2789,2781 ', '2792,2785 ', '2784,2791 '], ['2789,2781 ', '2792,2785 ', '2784,2791 ']]","[['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790'], ['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790']]"
0,"[['2789,2781 ']]","[['2789,2781 ', '2792,2785 ']]","[['2789,2781 ', '2792,2785 ', '2784,2791 ']]","[['2792,2785 ', '2789,2781 ', '2784,2791 ', '2783, 2790']]"
