Motifs_Count,0,1,2
3,"[['1600'], ['1600'], ['1600'], ['1620']]","[['1600', '1620'], ['1600', '1620'], ['1600', '1620'], ['1620', '1595']]","[['1600', '1620', '1595'], ['1600', '1620', '1595'], ['1600', '1620', '1595'], ['1620', '1595', '1600']]"
2,"[['1600'], ['1600'], ['1600']]","[['1600', '1620'], ['1600', '1620'], ['1600', '1620']]","[['1600', '1620', '1595'], ['1600', '1620', '1595'], ['1600', '1620', '1595']]"
1,"[['1600'], ['1600']]","[['1600', '1620'], ['1600', '1620']]","[['1600', '1620', '1595'], ['1600', '1620', '1595']]"
0,[['1600']],"[['1600', '1620']]","[['1600', '1620', '1595']]"
