Motifs_Count,0,1,2,3,4,5,6
3,"[['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', 'LUX'], ['MOVEMENT', 'HVAC', 'TEMPERATURE']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX'], ['MOVEMENT', 'HVAC', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2'], ['MOVEMENT', 'HVAC', 'LUX', 'TEMPERATURE', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'LUX', 'TEMPERATURE', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2', 'HUMIDITY', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', 'LUX', 'TEMPERATURE', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY']]"
2,"[['MOVEMENT'], ['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', 'LUX']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX'], ['MOVEMENT', 'HVAC', 'LUX', 'TEMPERATURE']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2', 'HUMIDITY']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'TEMPERATURE', 'LUX', 'CO2', 'HUMIDITY', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]"
1,"[['MOVEMENT'], ['MOVEMENT']]","[['MOVEMENT', 'HVAC'], ['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE'], ['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE']]"
0,[['MOVEMENT']],"[['MOVEMENT', 'HVAC']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX']]","[['MOVEMENT', 'HVAC', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'LUX', 'TEMPERATURE']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY']]","[['MOVEMENT', 'HVAC', 'LUX', '2740,2741,2731,2732,2730,2729,2727,2728,2742,2743', 'CO2', 'HUMIDITY', 'TEMPERATURE']]"
