Motifs_Count,0,1,2,3
3,"[['Mean Aggregated 1'], ['Mean Aggregated 1'], ['Mean Aggregated 1'], ['Mean Aggregated 3']]","[['Mean Aggregated 1', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 2'], ['Mean Aggregated 1', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 4', 'Mean Aggregated 2'], ['Mean Aggregated 1', 'Mean Aggregated 3', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 4', 'Mean Aggregated 2', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 4', 'Mean Aggregated 3', 'Mean Aggregated 2']]"
2,"[['Mean Aggregated 1'], ['Mean Aggregated 1'], ['Mean Aggregated 1']]","[['Mean Aggregated 1', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 2']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 4', 'Mean Aggregated 2']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 4', 'Mean Aggregated 2', 'Mean Aggregated 3']]"
1,"[['Mean Aggregated 1'], ['Mean Aggregated 1']]","[['Mean Aggregated 1', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3'], ['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3']]"
0,[['Mean Aggregated 1']],"[['Mean Aggregated 1', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4']]","[['Mean Aggregated 1', 'Mean Aggregated 2', 'Mean Aggregated 4', 'Mean Aggregated 3']]"
