Motifs_Count,0,1,2,3
3,"[['2764,2777,2760'], ['2764,2777,2760'], ['2764,2777,2760'], ['2758,2762,2775']]","[['2764,2777,2760', '2769,2778 '], ['2764,2777,2760', '2769,2778 '], ['2764,2777,2760', '2763,2776,2759'], ['2764,2777,2760', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 '], ['2764,2777,2760', '2763,2776,2759', '2769,2778 '], ['2764,2777,2760', '2769,2778 ', '2763,2776,2759'], ['2764,2777,2760', '2758,2762,2775', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775'], ['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775'], ['2764,2777,2760', '2769,2778 ', '2763,2776,2759', '2758,2762,2775'], ['2764,2777,2760', '2769,2778 ', '2758,2762,2775', '2763,2776,2759']]"
2,"[['2764,2777,2760'], ['2764,2777,2760'], ['2764,2777,2760']]","[['2764,2777,2760', '2769,2778 '], ['2764,2777,2760', '2769,2778 '], ['2764,2777,2760', '2763,2776,2759']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 '], ['2764,2777,2760', '2763,2776,2759', '2769,2778 '], ['2764,2777,2760', '2769,2778 ', '2763,2776,2759']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775'], ['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775'], ['2764,2777,2760', '2769,2778 ', '2763,2776,2759', '2758,2762,2775']]"
1,"[['2764,2777,2760'], ['2764,2777,2760']]","[['2764,2777,2760', '2769,2778 '], ['2764,2777,2760', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 '], ['2764,2777,2760', '2763,2776,2759', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775'], ['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775']]"
0,"[['2764,2777,2760']]","[['2764,2777,2760', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 ']]","[['2764,2777,2760', '2763,2776,2759', '2769,2778 ', '2758,2762,2775']]"
