Motifs_Count,0,1,2,3,4,5,6
3,"[['2738'], ['2738'], ['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739'], ['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1'], ['2738', '2739', '2733'], ['2738', '2739', '2735']]","[['2738', '2739', 'Sum_1', '2733'], ['2738', '2739', 'Sum_1', '2733'], ['2738', '2739', '2733', '2735'], ['2738', '2739', '2735', '2733']]","[['2738', '2739', 'Sum_1', '2733', '2735'], ['2738', '2739', 'Sum_1', '2733', '2735'], ['2738', '2739', '2735', '2733', '2737'], ['2738', '2739', '2733', '2735', 'Sum_1']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736'], ['2738', '2739', '2735', '2733', '2737', '2736'], ['2738', '2739', '2733', '2735', 'Sum_1', '2737']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735'], ['2738', '2739', '2735', '2733', '2737', '2736', 'Sum_1'], ['2738', '2739', '2733', '2735', 'Sum_1', '2737', '2736']]"
2,"[['2738'], ['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1'], ['2738', '2739', '2733']]","[['2738', '2739', 'Sum_1', '2733'], ['2738', '2739', 'Sum_1', '2733'], ['2738', '2739', '2733', '2735']]","[['2738', '2739', 'Sum_1', '2733', '2735'], ['2738', '2739', 'Sum_1', '2733', '2735'], ['2738', '2739', '2735', '2733', '2737']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736'], ['2738', '2739', '2735', '2733', '2737', '2736']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735'], ['2738', '2739', '2735', '2733', '2737', '2736', 'Sum_1']]"
1,"[['2738'], ['2738']]","[['2738', '2739'], ['2738', '2739']]","[['2738', '2739', 'Sum_1'], ['2738', '2739', 'Sum_1']]","[['2738', '2739', 'Sum_1', '2733'], ['2738', '2739', 'Sum_1', '2733']]","[['2738', '2739', 'Sum_1', '2733', '2735'], ['2738', '2739', 'Sum_1', '2733', '2735']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735'], ['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735']]"
0,[['2738']],"[['2738', '2739']]","[['2738', '2739', 'Sum_1']]","[['2738', '2739', 'Sum_1', '2733']]","[['2738', '2739', 'Sum_1', '2733', '2735']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736']]","[['2738', '2739', '2733', 'Sum_1', '2737', '2736', '2735']]"
